question,answer,source,focus_area,q_word_len,a_word_len
How many people are affected by biotin-thiamine-responsive basal ganglia disease ?,Biotin-thiamine-responsive basal ganglia disease is a rare disorder; its prevalence is unknown. Approximately 48 cases have been reported in the medical literature; most of these are individuals from Arab populations.,GHR,biotin-thiamine-responsive basal ganglia disease,11,30
How many people are affected by molybdenum cofactor deficiency ?,"Molybdenum cofactor deficiency is a rare condition that is estimated to occur in 1 in 100,000 to 200,000 newborns worldwide. More than 100 cases have been reported in the medical literature, although it is thought that the condition is underdiagnosed, so the number of affected individuals may be higher.",GHR,molybdenum cofactor deficiency,10,49
How many people are affected by congenital hypothyroidism ?,"Congenital hypothyroidism affects an estimated 1 in 2,000 to 4,000 newborns. For reasons that remain unclear, congenital hypothyroidism affects more than twice as many females as males.",GHR,congenital hypothyroidism,9,27
Is Sjgren syndrome inherited ?,"A predisposition to develop autoimmune disorders can be passed through generations in families. Relatives of people with Sjgren syndrome are at an increased risk of developing autoimmune diseases, although they are not necessarily more likely to develop Sjgren syndrome in particular. The inheritance pattern of this predisposition is unknown.",GHR,Sjgren syndrome,5,49
How many people are affected by giant congenital melanocytic nevus ?,"Giant congenital melanocytic nevus occurs in approximately 1 in 20,000 newborns worldwide.",GHR,giant congenital melanocytic nevus,11,12
How many people are affected by isolated Duane retraction syndrome ?,"Isolated Duane retraction syndrome affects an estimated 1 in 1,000 people worldwide. This condition accounts for 1 percent to 5 percent of all cases of abnormal eye alignment (strabismus). For unknown reasons, isolated Duane syndrome affects females more often than males.",GHR,isolated Duane retraction syndrome,11,41
How many people are affected by X-linked lymphoproliferative disease ?,"XLP1 is estimated to occur in about 1 per million males worldwide. XLP2 is less common, occurring in about 1 per 5 million males.",GHR,X-linked lymphoproliferative disease,10,24
What is (are) High Blood Cholesterol ?,A desirable level for LDL (bad) cholesterol is under 100 mg/dL. Here are the ranges for LDL cholesterol levels. Do you know how your LDL level compares?,NIHSeniorHealth,High Blood Cholesterol,7,27
How many people are affected by familial isolated pituitary adenoma ?,"Pituitary adenomas, including sporadic tumors, are relatively common; they are identified in an estimated 1 in 1,000 people. FIPA, though, is quite rare, accounting for approximately 2 percent of pituitary adenomas. More than 200 families with FIPA have been described in the medical literature.",GHR,familial isolated pituitary adenoma,11,44
What are the treatments for MyD88 deficiency ?,These resources address the diagnosis or management of MyD88 deficiency:  - Genetic Testing Registry: Myd88 deficiency   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,MyD88 deficiency,8,47
How many people are affected by Muckle-Wells syndrome ?,"Muckle-Wells syndrome is a rare disorder. It has been reported in many regions of the world, but its prevalence is unknown.",GHR,Muckle-Wells syndrome,9,21
what research (or clinical trials) is being done for Tardive Dyskinesia ?,"The NINDS conducts and supports a broad range of research on movement disorders including tardive dyskinesia. The goals of this research are to improve understanding of these disorders and to discover ways to treat, prevent, and, ultimately, cure them.",NINDS,Tardive Dyskinesia,12,39
How many people are affected by lattice corneal dystrophy type II ?,"Lattice corneal dystrophy type II is a rare condition; however, the prevalence is unknown. While this condition can be found in populations worldwide, it was first described in Finland and is more common there.",GHR,lattice corneal dystrophy type II,12,34
What is (are) Parkinson's Disease ?,Carbidopa is a drug that is usually given along with levodopa. It delays the body's conversion of levodopa into dopamine until the levodopa reaches the brain. This prevents or reduces some of the side effects that often accompany levodopa therapy. Carbidopa also reduces the amount of levodopa needed.,NIHSeniorHealth,Parkinson's Disease,6,48
Do you have information about Native Hawaiian and Pacific Islander Health,"Summary : Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from:       - Genetics    - Environmental factors    - Access to care    - Cultural factors       On this page, you'll find links to health issues that affect Native Hawaiians and Pacific Islanders.",MPlusHealthTopics,Native Hawaiian and Pacific Islander Health,11,48
How many people are affected by adermatoglyphia ?,Adermatoglyphia appears to be a rare condition. Only a few affected families have been identified worldwide.,GHR,adermatoglyphia,8,16
How many people are affected by ichthyosis with confetti ?,Ichthyosis with confetti is a rare disorder. Fewer than 20 affected individuals have been described in the medical literature.,GHR,ichthyosis with confetti,10,19
How many people are affected by Fabry disease ?,"Fabry disease affects an estimated 1 in 40,000 to 60,000 males. This disorder also occurs in females, although the prevalence is unknown. Milder, late-onset forms of the disorder are probably more common than the classic, severe form.",GHR,Fabry disease,9,37
Is REN-related kidney disease inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,REN-related kidney disease,6,26
How many people are affected by cardiofaciocutaneous syndrome ?,Cardiofaciocutaneous syndrome is a very rare condition whose incidence is unknown. Researchers estimate that 200 to 300 people worldwide have this condition.,GHR,cardiofaciocutaneous syndrome,9,22
What are the treatments for Farber's Disease ?,Currently there is no specific treatment for Farbers disease. Corticosteroids may help relieve pain. Bone marrow transplants may improve granulomas (small masses of inflamed tissue) on individuals with little or no lung or nervous system complications. Older persons may have granulomas surgically reduced or removed.,NINDS,Farber's Disease,8,45
Is Czech dysplasia inherited ?,"Czech dysplasia is inherited in an autosomal dominant pattern, which means one copy of the altered COL2A1 gene in each cell is sufficient to cause the disorder.  All known individuals with Czech dysplasia inherited the mutation from a parent with the condition.",GHR,Czech dysplasia,5,42
What are the treatments for Colpocephaly ?,"How might colpocephaly be treated? There is no definitive treatment for colpocephaly. Anticonvulsant medications are often prescribed to prevent seizures, and doctors rely on exercise therapies and orthopedic appliances to reduce shrinkage or shortening of muscles.",GARD,Colpocephaly,7,36
"What is (are) Parasites - Lice - Pubic ""Crab"" Lice ?","Also called crab lice or ""crabs,"" pubic lice are parasitic insects found primarily in the pubic or genital area of humans. Pubic lice infestation is found worldwide and occurs in all races, ethnic groups, and levels of society.",CDC,"Parasites - Lice - Pubic ""Crab"" Lice",11,38
Is Asperger syndrome inherited ?,"Autism spectrum disorders including Asperger syndrome have a tendency to run in families, but the inheritance pattern is unknown.",GHR,Asperger syndrome,5,19
What are the treatments for systemic lupus erythematosus ?,These resources address the diagnosis or management of systemic lupus erythematosus:  - MedlinePlus Encyclopedia: Antinuclear Antibody Panel   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,systemic lupus erythematosus,9,48
How many people are affected by familial osteochondritis dissecans ?,"Familial osteochondritis dissecans is a rare condition, although the prevalence is unknown. Sporadic osteochondritis dissecans is more common; it is estimated to occur in the knee in 15 to 29 per 100,000 individuals.",GHR,familial osteochondritis dissecans,10,33
How many people are affected by Bjrnstad syndrome ?,"Bjrnstad syndrome is a rare condition, although its prevalence is unknown. It has been found in populations worldwide.",GHR,Bjrnstad syndrome,9,18
What are the treatments for Erb-Duchenne and Dejerine-Klumpke Palsies ?,"Some brachial plexus injuries may heal without treatment. Many children who are injured during birth improve or recover by 3 to 4 months of age. Treatment for brachial plexus injuries includes physical therapy and, in some cases, surgery.",NINDS,Erb-Duchenne and Dejerine-Klumpke Palsies,10,38
How many people are affected by sitosterolemia ?,"Only 80 to 100 individuals with sitosterolemia have been described in the medical literature. However, researchers believe that this condition is likely underdiagnosed because mild cases often do not come to medical attention. Studies suggest that the prevalence may be at least 1 in 50,000 people.",GHR,sitosterolemia,8,46
How many people are affected by VLDLR-associated cerebellar hypoplasia ?,VLDLR-associated cerebellar hypoplasia is rare; its prevalence is unknown. The condition was first described in the Hutterite population in Canada and the United States. This condition has also been reported in families from Iran and Turkey.,GHR,VLDLR-associated cerebellar hypoplasia,10,36
Is Weyers acrofacial dysostosis inherited ?,"Weyers acrofacial dysostosis is inherited in an autosomal dominant pattern, which means one copy of the altered EVC or EVC2 gene in each cell is sufficient to cause the disorder. In most cases, an affected person inherits the altered gene from a parent who has the condition.",GHR,Weyers acrofacial dysostosis,6,47
What is the outlook for Agnosia ?,Agnosia can compromise quality of life.,NINDS,Agnosia,7,6
What are the treatments for Mantle cell lymphoma ?,"How might Mantle cell lympoma be treated? Various treatmentsare currently available for Mantle cell lymphomas. Rare cases of early stage mantle cell lymphomas may be treated with radiation therapy. For more advance stagestreatment includes chemotherapy, immunotherapy, bone marrow transplant, and medication.",GARD,Mantle cell lymphoma,9,41
How many people are affected by carnitine-acylcarnitine translocase deficiency ?,CACT deficiency is very rare; at least 30 cases have been reported.,GHR,carnitine-acylcarnitine translocase deficiency,10,12
What is (are) Age-related Macular Degeneration ?,"Age-related macular degeneration, or AMD, is a disease that blurs the sharp, central vision you need for straight-ahead activities such as reading, sewing, and driving. AMD affects the macula, the part of the eye that allows you to see fine detail. AMD causes no pain.",NIHSeniorHealth,Age-related Macular Degeneration,7,45
what research (or clinical trials) is being done for Aicardi Syndrome ?,"The NINDS supports and conducts research on neurogenetic disorders such as Aicardi syndrome. The goals of this research are to locate and understand the genes involved and to develop techniques to diagnose, treat, prevent, and ultimately cure disorders such as Aicardi syndrome.",NINDS,Aicardi Syndrome,12,42
What is (are) Creating a Family Health History ?,Talk to other family members. You can also obtain a death certificate from a state or county vital statistics office to confirm a late relative's cause of death. Funeral homes and online obituaries may also have this information.,NIHSeniorHealth,Creating a Family Health History,9,38
How many people are affected by aromatase deficiency ?,The prevalence of aromatase deficiency is unknown; approximately 20 cases have been described in the medical literature.,GHR,aromatase deficiency,9,17
How many people are affected by nonsyndromic aplasia cutis congenita ?,"Aplasia cutis congenita affects approximately 1 in 10,000 newborns. The incidence of the nonsyndromic form is unknown.",GHR,nonsyndromic aplasia cutis congenita,11,17
How many people are affected by Duchenne and Becker muscular dystrophy ?,"Duchenne and Becker muscular dystrophies together affect 1 in 3,500 to 5,000 newborn males worldwide. Between 400 and 600 boys in the United States are born with these conditions each year.",GHR,Duchenne and Becker muscular dystrophy,12,31
How many people are affected by gnathodiaphyseal dysplasia ?,"The prevalence of gnathodiaphyseal dysplasia is unknown, but it is thought to be a rare disorder. A few affected individuals and families have been described in the medical literature.",GHR,gnathodiaphyseal dysplasia,9,29
Is Liddle syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Liddle syndrome,5,26
How many people are affected by tumor necrosis factor receptor-associated periodic syndrome ?,"TRAPS has an estimated prevalence of one per million individuals; it is the second most common inherited recurrent fever syndrome, following a similar condition called familial Mediterranean fever. More than 1,000 people worldwide have been diagnosed with TRAPS.",GHR,tumor necrosis factor receptor-associated periodic syndrome,13,38
How many people are affected by adenylosuccinate lyase deficiency ?,"Adenylosuccinate lyase deficiency is a rare disorder; fewer than 100 cases have been reported. The condition is most common in the Netherlands and Belgium, but it has been found worldwide.",GHR,adenylosuccinate lyase deficiency,10,30
How many people are affected by Turner syndrome ?,"This condition occurs in about 1 in 2,500 newborn girls worldwide, but it is much more common among pregnancies that do not survive to term (miscarriages and stillbirths).",GHR,Turner syndrome,9,28
How many people are affected by von Willebrand disease ?,"Von Willebrand disease is estimated to affect 1 in 100 to 10,000 individuals. Because people with mild signs and symptoms may not come to medical attention, it is thought that this condition is underdiagnosed. Most researchers agree that von Willebrand disease is the most common genetic bleeding disorder.",GHR,von Willebrand disease,10,48
what research (or clinical trials) is being done for Chorea ?,The NINDS supports research on movement disorders such as chorea. The goals of this research are to increase understanding of these disorders and to find ways to prevent and treat them.,NINDS,Chorea,11,31
What are the treatments for Pseudohypoaldosteronism type 2 ?,How might pseudohypoaldosteronism type 2 be treated? Pseudohypoaldosteronism may be treated with thiazide diuretics and dietary restriction of sodium.,GARD,Pseudohypoaldosteronism type 2,9,19
How many people are affected by hepatic veno-occlusive disease with immunodeficiency ?,"VODI appears to be a rare disorder; approximately 20 affected families have been reported worldwide. Most people diagnosed with the condition have been of Lebanese ancestry. However, the disorder has also been identified in several individuals with other backgrounds in the United States and Italy.",GHR,hepatic veno-occlusive disease with immunodeficiency,12,45
What is (are) Osteoporosis ?,"Osteoporosis is a disease that thins and weakens the bones to the point that they break easily. Women and men with osteoporosis most often break bones in the hip, spine, and wrist, but osteoporosis can be the cause of bone fractures anywhere.",NIHSeniorHealth,Osteoporosis,5,42
How many people are affected by coloboma ?,"Coloboma occurs in approximately 1 in 10,000 people. Because coloboma does not always affect vision or the outward appearance of the eye, some people with this condition are likely undiagnosed.",GHR,coloboma,8,30
How many people are affected by fragile X syndrome ?,"Fragile X syndrome occurs in approximately 1 in 4,000 males and 1 in 8,000 females.",GHR,fragile X syndrome,10,15
How many people are affected by progressive familial heart block ?,"The prevalence of progressive familial heart block is unknown. In the United States, about 1 in 5,000 individuals have complete heart block from any cause; worldwide, about 1 in 2,500 individuals have complete heart block.",GHR,progressive familial heart block,11,35
How many people are affected by Kleefstra syndrome ?,The prevalence of Kleefstra syndrome is unknown. Only recently has testing become available to distinguish it from other disorders with similar features.,GHR,Kleefstra syndrome,9,22
Is Williams syndrome inherited ?,Is Williams syndrome inherited?,GARD,Williams syndrome,5,4
How many people are affected by hereditary myopathy with early respiratory failure ?,"HMERF is a rare condition. It has been reported in several families of Swedish and French descent, and in at least one individual from Italy.",GHR,hereditary myopathy with early respiratory failure,13,25
How many people are affected by epidermolysis bullosa simplex ?,"The exact prevalence of epidermolysis bullosa simplex is unknown, but this condition is estimated to affect 1 in 30,000 to 50,000 people. The localized type is the most common form of the condition.",GHR,epidermolysis bullosa simplex,10,33
How many people are affected by Donohue syndrome ?,Donohue syndrome is estimated to affect less than 1 per million people worldwide. Several dozen cases have been reported in the medical literature.,GHR,Donohue syndrome,9,23
How many people are affected by Cowden syndrome ?,"Although the exact prevalence of Cowden syndrome is unknown, researchers estimate that it affects about 1 in 200,000 people.",GHR,Cowden syndrome,9,19
How many people are affected by hypochondroplasia ?,"The incidence of hypochondroplasia is unknown. Researchers believe that it may be about as common as achondroplasia, which occurs in 1 in 15,000 to 40,000 newborns. More than 200 people worldwide have been diagnosed with hypochondroplasia.",GHR,hypochondroplasia,8,36
what research (or clinical trials) is being done for Cushing's Syndrome ?,"NINDS supports research on Cushing's syndrome aimed at finding new ways to diagnose, treat, and cure the disorder.",NINDS,Cushing's Syndrome,12,18
Is cherubism inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,cherubism,4,26
How many people are affected by Meesmann corneal dystrophy ?,"Meesmann corneal dystrophy is a rare disorder whose prevalence is unknown. It was first described in a large, multi-generational German family with more than 100 affected members. Since then, the condition has been reported in individuals and families worldwide.",GHR,Meesmann corneal dystrophy,10,39
How many people are affected by X-linked creatine deficiency ?,The prevalence of X-linked creatine deficiency is unknown. More than 150 affected individuals have been identified. The disorder has been estimated to account for between 1 and 2 percent of males with intellectual disability.,GHR,X-linked creatine deficiency,10,34
What are the treatments for Schizencephaly ?,"Treatment generally consists of physical therapy and drugs to prevent seizures. In cases that are complicated by hydrocephalus, a surgically implanted tube, called a shunt, is often used to divert fluid to another area of the body where it can be absorbed.",NINDS,Schizencephaly,7,42
What are the treatments for Prosopagnosia ?,The focus of any treatment should be to help the individual with prosopagnosia develop compensatory strategies. Adults who have the condition as a result of stroke or brain trauma can be retrained to use other clues to identify individuals.,NINDS,Prosopagnosia,7,39
what research (or clinical trials) is being done for Neurosyphilis ?,"The National Institute of Neurological Disorders and Stroke supports and conducts research on neurodegenerative disorders, such as neurosyphilis, in an effort to find ways to prevent, treat, and ultimately cure these disorders.",NINDS,Neurosyphilis,11,32
Is Renal nutcracker syndrome inherited ?,"Is renal nutcracker syndrome inherited? Renal nutcracker syndrome is not inherited. Most cases occur sporadically in people with no family history of the condition. Although more than one family member may rarely be affected, this is thought to be a coincidence and not the result of a genetic predisposition.",GARD,Renal nutcracker syndrome,6,49
What is the outlook for Neuronal Migration Disorders ?,The prognosis for children with NMDs varies depending on the specific disorder and the degree of brain abnormality and subsequent neurological signs and symptoms.,NINDS,Neuronal Migration Disorders,9,24
How many people are affected by Beare-Stevenson cutis gyrata syndrome ?,Beare-Stevenson cutis gyrata syndrome is a rare genetic disorder; its incidence is unknown. Fewer than 20 people with this condition have been reported worldwide.,GHR,Beare-Stevenson cutis gyrata syndrome,11,24
How many people are affected by Poland syndrome ?,"Poland syndrome has been estimated to occur in 1 in 20,000 newborns. For unknown reasons, this disorder occurs more than twice as often in males than in females. Poland syndrome may be underdiagnosed because mild cases without hand involvement may never come to medical attention.",GHR,Poland syndrome,9,45
What are the treatments for adenylosuccinate lyase deficiency ?,These resources address the diagnosis or management of adenylosuccinate lyase deficiency:  - Genetic Testing Registry: Adenylosuccinate lyase deficiency   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,adenylosuccinate lyase deficiency,9,49
How many people are affected by phosphoglycerate dehydrogenase deficiency ?,"This condition is likely a rare disorder, but its prevalence is unknown. At least 15 cases have been described in the scientific literature.",GHR,phosphoglycerate dehydrogenase deficiency,10,23
How many people are affected by McKusick-Kaufman syndrome ?,"This condition was first described in the Old Order Amish population, where it affects an estimated 1 in 10,000 people. The incidence of McKusick-Kaufman syndrome in non-Amish populations is unknown.",GHR,McKusick-Kaufman syndrome,9,30
What are the treatments for epidermal nevus ?,These resources address the diagnosis or management of epidermal nevus:  - Genetic Testing Registry: Epidermal nevus   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,epidermal nevus,8,47
How many people are affected by Emery-Dreifuss muscular dystrophy ?,"X-linked Emery-Dreifuss muscular dystrophy is the most common form of this condition, affecting an estimated 1 in 100,000 people. The autosomal recessive type of this disorder appears to be very rare; only a few cases have been reported worldwide. The incidence of the autosomal dominant form is unknown.",GHR,Emery-Dreifuss muscular dystrophy,10,48
How many people are affected by dermatofibrosarcoma protuberans ?,"Dermatofibrosarcoma protuberans is estimated to occur in 1 in 100,000 to 1 in 1 million people per year.",GHR,dermatofibrosarcoma protuberans,9,18
How many people are affected by deafness-dystonia-optic neuronopathy syndrome ?,DDON syndrome is a rare disorder; it has been reported in fewer than 70 people worldwide.,GHR,deafness-dystonia-optic neuronopathy syndrome,10,16
How many people are affected by Heart Failure ?,"Approximately 5 million people in the United States have heart failure. It contributes to 300,000 deaths each year. It is the number one cause of hospitalizations for people over the age of 65.",NIHSeniorHealth,Heart Failure,9,33
How many people are affected by trichothiodystrophy ?,Trichothiodystrophy has an estimated incidence of about 1 in 1 million newborns in the United States and Europe. About 100 affected individuals have been reported worldwide.,GHR,trichothiodystrophy,8,26
What are the treatments for Landau-Kleffner Syndrome ?,"Treatment for LKS usually consists of medications, such as anticonvulsants and corticosteroids, and speech therapy, which should be started early. A controversial treatment option involves a surgical technique called multiple subpial transection in which the pathways of abnormal electrical brain activity are severed",NINDS,Landau-Kleffner Syndrome,8,43
How many people are affected by protein S deficiency ?,"Mild protein S deficiency is estimated to occur in approximately 1 in 500 individuals. Severe protein S deficiency is rare; however, its exact prevalence is unknown.",GHR,protein S deficiency,10,26
"How many people are affected by Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant ?",The SBBYS variant of Ohdo syndrome is estimated to occur in fewer than 1 per million people. At least 19 cases have been reported in the medical literature.,GHR,"Ohdo syndrome, Say-Barber-Biesecker-Young-Simpson variant",11,28
"How many people are affected by hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome ?","HANAC syndrome is a rare condition, although the exact prevalence is unknown. At least six affected families have been described in the scientific literature.",GHR,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",16,24
How many people are affected by hepatic lipase deficiency ?,Hepatic lipase deficiency is likely a rare disorder; only a few affected families have been reported in the scientific literature.,GHR,hepatic lipase deficiency,10,20
Is granulomatosis with polyangiitis inherited ?,The inheritance pattern of GPA is unknown. Most instances are sporadic and occur in individuals with no history of the disorder in their family. Only rarely is more than one member of the same family affected by the disorder.,GHR,granulomatosis with polyangiitis,6,39
How many people are affected by Adams-Oliver syndrome ?,Adams-Oliver syndrome is a rare disorder; its prevalence is unknown.,GHR,Adams-Oliver syndrome,9,10
How many people are affected by X-linked hyper IgM syndrome ?,X-linked hyper IgM syndrome is estimated to occur in 2 per million newborn boys.,GHR,X-linked hyper IgM syndrome,11,14
How many people are affected by Saethre-Chotzen syndrome ?,"Saethre-Chotzen syndrome has an estimated prevalence of 1 in 25,000 to 50,000 people.",GHR,Saethre-Chotzen syndrome,9,13
How many people are affected by Canavan disease ?,"While this condition occurs in people of all ethnic backgrounds, it is most common in people of Ashkenazi (eastern and central European) Jewish heritage. Studies suggest that this disorder affects 1 in 6,400 to 13,500 people in the Ashkenazi Jewish population. The incidence in other populations is unknown.",GHR,Canavan disease,9,48
Is GRN-related frontotemporal dementia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has a parent and other family members with the condition.",GHR,GRN-related frontotemporal dementia,6,42
How many people are affected by hereditary multiple osteochondromas ?,"The incidence of hereditary multiple osteochondromas is estimated to be 1 in 50,000 individuals. This condition occurs more frequently in some isolated populations: the incidence is approximately 1 in 1,000 in the Chamorro population of Guam and 1 in 77 in the Ojibway Indian population of Manitoba, Canada.",GHR,hereditary multiple osteochondromas,10,48
What is the outlook for Familial Periodic Paralyses ?,"The prognosis for the familial periodic paralyses varies. Chronic attacks may result in progressive weakness that persists between attacks. Some cases respond well to treatment, which can prevent or reverse progressive muscle weakness.",NINDS,Familial Periodic Paralyses,9,33
what research (or clinical trials) is being done for Hemifacial Spasm ?,"The National Institute of Neurological Disorders and Stroke (NINDS) conducts and supports research related to hemifacial spams through grants to major research institutions across the country. Much of this research focuses on better ways to prevent, treat, and ultimately cure neurological disorders, such as hemifacial spasm.",NINDS,Hemifacial Spasm,12,46
what research (or clinical trials) is being done for Kleine-Levin Syndrome ?,NINDS supports a broad range of clinical and basic research on diseases causing sleep disorders in an effort to clarify the mechanisms of these conditions and to develop better treatments for them.,NINDS,Kleine-Levin Syndrome,12,32
How to diagnose Lichen planus pigmentosus ?,How is lichen planus pigmentosus diagnosed? A diagnosis of lichen planus pigmentosus is usually suspected based on the presence of characteristic signs and symptoms. A skin biopsy may then be ordered to confirm the diagnosis.,GARD,Lichen planus pigmentosus,7,35
What is (are) High Blood Cholesterol ?,"Too much cholesterol in your blood is called high blood cholesterol. It can be serious. People with high blood cholesterol have a greater chance of getting heart disease. High blood cholesterol does not cause symptoms, so you may not be aware that your cholesterol level is too high.",NIHSeniorHealth,High Blood Cholesterol,7,48
How many people are affected by DICER1 syndrome ?,DICER1 syndrome is a rare condition; its prevalence is unknown.,GHR,DICER1 syndrome,9,10
What are the treatments for Hereditary Neuropathies ?,"There are no standard treatments for hereditary neuropathies. Treatment is mainly symptomatic and supportive. Medical treatment includes physical therapy and if needed, pain medication. Orthopedic surgery may be needed to correct severe foot or other skeletal deformities. Bracing may also be used to improve mobility.",NINDS,Hereditary Neuropathies,8,45
How to prevent Chapare Hemorrhagic Fever (CHHF) ?,"Although rodent control would be desirable, it will not be a successful strategy for preventing Chapare hemorrhagic fever cases caused by exposures outdoors. 
   
As for other hemorrhagic fevers, full barrier nursing procedures should be implemented during management of suspected or confirmed CHHF cases.",CDC,Chapare Hemorrhagic Fever (CHHF),8,43
What causes Orofaciodigital syndrome 2 ?,What causes orofaciodigital syndrome type 2? Orofaciodigital syndrome type 2 is caused by mutations (changes) of an as yet unidentified gene.,GARD,Orofaciodigital syndrome 2,6,21
What are the treatments for dihydropyrimidinase deficiency ?,These resources address the diagnosis or management of dihydropyrimidinase deficiency:  - Genetic Testing Registry: Dihydropyrimidinase deficiency   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,dihydropyrimidinase deficiency,8,47
How many people are affected by Knobloch syndrome ?,"Knobloch syndrome is a rare condition. However, the exact prevalence of the condition is unknown.",GHR,Knobloch syndrome,9,15
How many people are affected by Floating-Harbor syndrome ?,Floating-Harbor syndrome is a rare disorder; only about 50 cases have been reported in the medical literature.,GHR,Floating-Harbor syndrome,9,17
Is lymphedema-distichiasis syndrome inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,lymphedema-distichiasis syndrome,5,26
What is the outlook for Huntington's Disease ?,"Huntingtons disease causes disability that gets worse over time. People with this disease usually die within 15 to 20 years following diagnosis. At this time, no treatment is available to slow, stop or reverse the course of HD.",NINDS,Huntington's Disease,8,38
What is (are) Leukemia ?,Radiation therapy is a cancer treatment that uses high-energy x-rays to destroy cancer cells. Some patients receive radiation treatment that is directed at the whole body.,NIHSeniorHealth,Leukemia,5,26
How many people are affected by activated PI3K-delta syndrome ?,The prevalence of activated PI3K-delta syndrome is unknown.,GHR,activated PI3K-delta syndrome,10,8
Is congenital diaphragmatic hernia inherited ?,"Isolated congenital diaphragmatic hernia is rarely inherited. In almost all cases, there is only one affected individual in a family.  When congenital diaphragmatic hernia occurs as a feature of a genetic syndrome or chromosomal abnormality, it may cluster in families according to the inheritance pattern for that condition.",GHR,congenital diaphragmatic hernia,6,48
What are the treatments for recombinant 8 syndrome ?,These resources address the diagnosis or management of recombinant 8 syndrome:  - Genetic Testing Registry: Recombinant chromosome 8 syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,recombinant 8 syndrome,9,50
How many people are affected by bradyopsia ?,Bradyopsia appears to be rare. Only a few affected individuals worldwide have been described in the medical literature.,GHR,bradyopsia,8,18
What causes Multifocal choroiditis ?,"What causes multifocal choroiditis? Multifocal choroiditis occurs spontaneously and the cause is not currently known (idiopathic). It is possible that a bacterial or viral infection may trigger an immune response that causes the inflammation seen with MFC, though more research is needed in this area.",GARD,Multifocal choroiditis,5,45
What are the treatments for COPD ?,"Treatment for COPD can be different for each person and is based on whether symptoms are mild, moderate or severe. Treatments include medication, pulmonary or lung rehabilitation, oxygen treatment, and surgery. There are also treatments to manage complications or a sudden onset of symptoms.",NIHSeniorHealth,COPD,7,44
How many people are affected by Dandy-Walker malformation ?,"Dandy-Walker malformation is estimated to affect 1 in 10,000 to 30,000 newborns.",GHR,Dandy-Walker malformation,9,12
What is the outlook for Machado-Joseph Disease ?,"Most individuals with Lyme disease respond well to antibiotics and have full recovery. In a small percentage of individuals, symptoms may continue or recur, requiring additional antibiotic treatment. Varying degrees of permanent joint or nervous system damage may develop in individuals with late-stage Lyme disease.",NINDS,Machado-Joseph Disease,8,45
How many people are affected by retinal arterial macroaneurysm with supravalvular pulmonic stenosis ?,"RAMSVPS is a rare disorder. Only a small number of affected individuals and families, all from Saudi Arabia, have been described in the medical literature.",GHR,retinal arterial macroaneurysm with supravalvular pulmonic stenosis,14,25
Is Hashimoto thyroiditis inherited ?,"The inheritance pattern of Hashimoto thyroiditis is unclear because many genetic and environmental factors appear to be involved. However, the condition can cluster in families, and having a close relative with Hashimoto thyroiditis or another autoimmune disorder likely increases a person's risk of developing the condition.",GHR,Hashimoto thyroiditis,5,46
How many people are affected by Rett syndrome ?,"This condition affects an estimated 1 in 8,500 females.",GHR,Rett syndrome,9,9
How many people are affected by alpha-methylacyl-CoA racemase deficiency ?,AMACR deficiency is a rare disorder. Its prevalence is unknown. At least 10 cases have been described in the medical literature.,GHR,alpha-methylacyl-CoA racemase deficiency,10,21
what research (or clinical trials) is being done for Central Pain Syndrome ?,The NINDS vigorously pursues a research program seeking new treatments for chronic pain and nervous system damage. The goals of this research are to develop ways to more effectively treat and potentially reverse debilitating conditions such as central pain syndrome.,NINDS,Central Pain Syndrome,13,40
